Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 3.822E+00 1.071E-02 6.491E+03 6.495E+03 
1.500E-03 3.524E+00 1.797E-02 2.338E+03 2.342E+03 
2.000E-03 3.230E+00 2.434E-02 1.103E+03 1.106E+03 
3.000E-03 2.706E+00 3.595E-02 3.716E+02 3.743E+02 
4.000E-03 2.270E+00 4.653E-02 1.689E+02 1.712E+02 
5.000E-03 1.912E+00 5.596E-02 9.094E+01 9.291E+01 
5.465E-03 1.770E+00 5.998E-02 7.093E+01 7.276E+01 
5.465E-03 1.770E+00 5.998E-02 5.852E+02 5.870E+02 
6.000E-03 1.624E+00 6.433E-02 4.671E+02 4.688E+02 
8.000E-03 1.218E+00 7.814E-02 2.204E+02 2.217E+02 
1.000E-02 9.606E-01 8.863E-02 1.207E+02 1.217E+02 
1.500E-02 6.088E-01 1.058E-01 3.911E+01 3.982E+01 
2.000E-02 4.190E-01 1.164E-01 1.714E+01 1.768E+01 
3.000E-02 2.278E-01 1.277E-01 5.209E+00 5.564E+00 
4.000E-02 1.439E-01 1.319E-01 2.196E+00 2.472E+00 
5.000E-02 9.993E-02 1.331E-01 1.114E+00 1.347E+00 
6.000E-02 7.372E-02 1.329E-01 6.372E-01 8.438E-01 
8.000E-02 4.484E-02 1.304E-01 2.619E-01 4.371E-01 
1.000E-01 3.002E-02 1.267E-01 1.310E-01 2.877E-01 
1.500E-01 1.414E-02 1.169E-01 3.711E-02 1.682E-01 
2.000E-01 8.179E-03 1.083E-01 1.529E-02 1.318E-01 
3.000E-01 3.734E-03 9.509E-02 4.527E-03 1.034E-01 
4.000E-01 2.124E-03 8.554E-02 1.990E-03 8.966E-02 
5.000E-01 1.368E-03 7.828E-02 1.089E-03 8.074E-02 
6.000E-01 9.527E-04 7.250E-02 6.841E-04 7.414E-02 
8.000E-01 5.376E-04 6.378E-02 3.479E-04 6.466E-02 
1.000E+00 3.447E-04 5.738E-02 2.163E-04 5.794E-02 
