Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 7.368E+00 5.370E-03 6.555E+03 6.562E+03 
1.003E-03 7.365E+00 5.396E-03 6.512E+03 6.520E+03 
1.006E-03 7.363E+00 5.421E-03 6.470E+03 6.478E+03 
1.006E-03 7.363E+00 5.421E-03 6.618E+03 6.625E+03 
1.013E-03 7.358E+00 5.480E-03 6.519E+03 6.526E+03 
1.020E-03 7.353E+00 5.539E-03 6.421E+03 6.428E+03 
1.020E-03 7.353E+00 5.539E-03 6.858E+03 6.865E+03 
1.031E-03 7.345E+00 5.637E-03 6.977E+03 6.985E+03 
1.043E-03 7.336E+00 5.737E-03 7.196E+03 7.203E+03 
1.043E-03 7.336E+00 5.737E-03 7.569E+03 7.577E+03 
1.116E-03 7.282E+00 6.374E-03 6.662E+03 6.669E+03 
1.194E-03 7.223E+00 7.069E-03 5.873E+03 5.881E+03 
1.194E-03 7.223E+00 7.069E-03 6.092E+03 6.100E+03 
1.500E-03 6.981E+00 9.855E-03 3.612E+03 3.619E+03 
2.000E-03 6.552E+00 1.428E-02 1.810E+03 1.816E+03 
3.000E-03 5.712E+00 2.255E-02 6.553E+02 6.610E+02 
3.537E-03 5.297E+00 2.669E-02 4.285E+02 4.338E+02 
3.537E-03 5.297E+00 2.669E-02 7.210E+02 7.263E+02 
3.631E-03 5.228E+00 2.738E-02 6.752E+02 6.804E+02 
3.727E-03 5.158E+00 2.809E-02 6.321E+02 6.373E+02 
3.727E-03 5.158E+00 2.809E-02 7.705E+02 7.757E+02 
4.000E-03 4.964E+00 3.007E-02 6.460E+02 6.510E+02 
4.018E-03 4.951E+00 3.020E-02 6.387E+02 6.437E+02 
4.018E-03 4.951E+00 3.020E-02 7.012E+02 7.062E+02 
4.177E-03 4.842E+00 3.131E-02 6.355E+02 6.404E+02 
4.341E-03 4.732E+00 3.246E-02 5.759E+02 5.807E+02 
4.341E-03 4.732E+00 3.246E-02 7.933E+02 7.981E+02 
4.475E-03 4.647E+00 3.337E-02 7.399E+02 7.446E+02 
4.612E-03 4.560E+00 3.430E-02 6.902E+02 6.948E+02 
4.612E-03 4.560E+00 3.430E-02 7.925E+02 7.971E+02 
4.773E-03 4.460E+00 3.537E-02 7.292E+02 7.337E+02 
4.939E-03 4.359E+00 3.647E-02 6.710E+02 6.754E+02 
4.939E-03 4.359E+00 3.647E-02 7.224E+02 7.268E+02 
5.000E-03 4.323E+00 3.687E-02 7.005E+02 7.049E+02 
6.000E-03 3.784E+00 4.307E-02 4.392E+02 4.430E+02 
8.000E-03 2.961E+00 5.411E-02 2.054E+02 2.084E+02 
9.659E-03 2.475E+00 6.202E-02 1.239E+02 1.264E+02 
9.659E-03 2.475E+00 6.202E-02 1.707E+02 1.732E+02 
1.000E-02 2.392E+00 6.351E-02 1.560E+02 1.584E+02 
1.500E-02 1.556E+00 8.077E-02 5.234E+01 5.397E+01 
2.000E-02 1.092E+00 9.183E-02 2.363E+01 2.481E+01 
2.671E-02 7.288E-01 1.015E-01 1.047E+01 1.130E+01 
2.671E-02 7.288E-01 1.015E-01 2.587E+01 2.670E+01 
3.000E-02 6.153E-01 1.047E-01 1.901E+01 1.973E+01 
3.181E-02 5.644E-01 1.063E-01 1.625E+01 1.692E+01 
3.181E-02 5.644E-01 1.063E-01 2.898E+01 2.965E+01 
4.000E-02 3.999E-01 1.113E-01 1.581E+01 1.632E+01 
5.000E-02 2.825E-01 1.146E-01 8.605E+00 9.002E+00 
6.000E-02 2.098E-01 1.160E-01 5.193E+00 5.519E+00 
8.000E-02 1.285E-01 1.158E-01 2.307E+00 2.552E+00 
1.000E-01 8.699E-02 1.138E-01 1.219E+00 1.420E+00 
1.500E-01 4.215E-02 1.067E-01 3.785E-01 5.273E-01 
2.000E-01 2.484E-02 9.974E-02 1.652E-01 2.897E-01 
3.000E-01 1.154E-02 8.838E-02 5.248E-02 1.524E-01 
4.000E-01 6.634E-03 7.988E-02 2.406E-02 1.106E-01 
5.000E-01 4.298E-03 7.329E-02 1.352E-02 9.111E-02 
6.000E-01 3.009E-03 6.803E-02 8.641E-03 7.968E-02 
8.000E-01 1.708E-03 5.995E-02 4.465E-03 6.612E-02 
1.000E+00 1.099E-03 5.396E-02 2.787E-03 5.785E-02 
