Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 4.141E+00 8.544E-03 7.401E+03 7.405E+03 
1.500E-03 3.864E+00 1.491E-02 2.690E+03 2.694E+03 
2.000E-03 3.573E+00 2.106E-02 1.274E+03 1.278E+03 
3.000E-03 3.018E+00 3.280E-02 4.308E+02 4.339E+02 
4.000E-03 2.532E+00 4.357E-02 1.962E+02 1.988E+02 
5.000E-03 2.129E+00 5.328E-02 1.058E+02 1.080E+02 
5.989E-03 1.808E+00 6.188E-02 6.386E+01 6.573E+01 
5.989E-03 1.808E+00 6.188E-02 5.140E+02 5.159E+02 
6.000E-03 1.804E+00 6.197E-02 5.142E+02 5.161E+02 
8.000E-03 1.346E+00 7.658E-02 2.499E+02 2.514E+02 
1.000E-02 1.055E+00 8.785E-02 1.376E+02 1.387E+02 
1.500E-02 6.628E-01 1.063E-01 4.495E+01 4.572E+01 
2.000E-02 4.573E-01 1.174E-01 1.981E+01 2.038E+01 
3.000E-02 2.494E-01 1.294E-01 6.055E+00 6.434E+00 
4.000E-02 1.573E-01 1.341E-01 2.564E+00 2.856E+00 
5.000E-02 1.092E-01 1.355E-01 1.306E+00 1.551E+00 
6.000E-02 8.053E-02 1.353E-01 7.482E-01 9.640E-01 
8.000E-02 4.905E-02 1.328E-01 3.085E-01 4.904E-01 
1.000E-01 3.288E-02 1.291E-01 1.546E-01 3.166E-01 
1.500E-01 1.550E-02 1.193E-01 4.399E-02 1.788E-01 
2.000E-01 8.976E-03 1.106E-01 1.817E-02 1.378E-01 
3.000E-01 4.101E-03 9.716E-02 5.396E-03 1.067E-01 
4.000E-01 2.334E-03 8.742E-02 2.375E-03 9.213E-02 
5.000E-01 1.503E-03 8.001E-02 1.301E-03 8.281E-02 
6.000E-01 1.047E-03 7.411E-02 8.184E-04 7.598E-02 
8.000E-01 5.911E-04 6.519E-02 4.164E-04 6.620E-02 
1.000E+00 3.790E-04 5.866E-02 2.590E-04 5.930E-02 
