Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 6.813E+00 6.838E-03 4.592E+03 4.599E+03 
1.500E-03 6.403E+00 1.178E-02 1.780E+03 1.786E+03 
2.000E-03 5.973E+00 1.650E-02 8.835E+02 8.895E+02 
2.370E-03 5.657E+00 1.989E-02 5.788E+02 5.844E+02 
2.370E-03 5.657E+00 1.989E-02 2.175E+03 2.181E+03 
2.417E-03 5.622E+00 2.030E-02 2.048E+03 2.054E+03 
2.465E-03 5.587E+00 2.072E-02 1.930E+03 1.935E+03 
2.465E-03 5.587E+00 2.072E-02 2.688E+03 2.694E+03 
2.579E-03 5.496E+00 2.173E-02 2.407E+03 2.413E+03 
2.698E-03 5.398E+00 2.278E-02 2.156E+03 2.161E+03 
2.698E-03 5.398E+00 2.278E-02 2.464E+03 2.470E+03 
3.000E-03 5.161E+00 2.539E-02 1.901E+03 1.906E+03 
4.000E-03 4.464E+00 3.352E-02 9.120E+02 9.165E+02 
5.000E-03 3.890E+00 4.096E-02 5.094E+02 5.133E+02 
6.000E-03 3.424E+00 4.773E-02 3.137E+02 3.172E+02 
8.000E-03 2.728E+00 5.917E-02 1.441E+02 1.469E+02 
1.000E-02 2.226E+00 6.825E-02 7.811E+01 8.040E+01 
1.500E-02 1.411E+00 8.491E-02 2.522E+01 2.672E+01 
1.899E-02 1.033E+00 9.444E-02 1.296E+01 1.409E+01 
1.899E-02 1.033E+00 9.444E-02 8.666E+01 8.779E+01 
2.000E-02 9.619E-01 9.645E-02 7.603E+01 7.709E+01 
3.000E-02 5.436E-01 1.101E-01 2.600E+01 2.665E+01 
4.000E-02 3.535E-01 1.171E-01 1.176E+01 1.224E+01 
5.000E-02 2.468E-01 1.204E-01 6.276E+00 6.644E+00 
6.000E-02 1.816E-01 1.217E-01 3.729E+00 4.032E+00 
8.000E-02 1.107E-01 1.212E-01 1.620E+00 1.852E+00 
1.000E-01 7.500E-02 1.189E-01 8.427E-01 1.037E+00 
1.500E-01 3.623E-02 1.112E-01 2.549E-01 4.023E-01 
2.000E-01 2.122E-02 1.038E-01 1.094E-01 2.344E-01 
3.000E-01 9.807E-03 9.191E-02 3.402E-02 1.357E-01 
4.000E-01 5.623E-03 8.297E-02 1.539E-02 1.040E-01 
5.000E-01 3.638E-03 7.610E-02 8.582E-03 8.832E-02 
6.000E-01 2.544E-03 7.059E-02 5.452E-03 7.858E-02 
8.000E-01 1.442E-03 6.218E-02 2.802E-03 6.642E-02 
1.000E+00 9.256E-04 5.598E-02 1.746E-03 5.866E-02 
