Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 7.634E+00 4.270E-03 6.530E+03 6.538E+03 
1.500E-03 7.272E+00 8.466E-03 2.571E+03 2.579E+03 
2.000E-03 6.842E+00 1.298E-02 1.285E+03 1.292E+03 
3.000E-03 5.942E+00 2.155E-02 4.670E+02 4.729E+02 
3.173E-03 5.789E+00 2.291E-02 4.049E+02 4.107E+02 
3.173E-03 5.789E+00 2.291E-02 1.350E+03 1.355E+03 
3.251E-03 5.723E+00 2.352E-02 1.278E+03 1.283E+03 
3.330E-03 5.656E+00 2.413E-02 1.210E+03 1.216E+03 
3.330E-03 5.656E+00 2.413E-02 1.659E+03 1.664E+03 
3.465E-03 5.543E+00 2.517E-02 1.510E+03 1.515E+03 
3.604E-03 5.428E+00 2.623E-02 1.374E+03 1.379E+03 
3.604E-03 5.428E+00 2.623E-02 1.577E+03 1.582E+03 
4.000E-03 5.116E+00 2.918E-02 1.222E+03 1.227E+03 
5.000E-03 4.423E+00 3.619E-02 6.870E+02 6.914E+02 
6.000E-03 3.860E+00 4.274E-02 4.268E+02 4.307E+02 
8.000E-03 3.040E+00 5.439E-02 1.986E+02 2.017E+02 
1.000E-02 2.480E+00 6.394E-02 1.085E+02 1.110E+02 
1.500E-02 1.618E+00 8.081E-02 3.545E+01 3.715E+01 
2.000E-02 1.118E+00 9.190E-02 1.583E+01 1.704E+01 
2.435E-02 8.522E-01 9.880E-02 9.077E+00 1.003E+01 
2.435E-02 8.522E-01 9.880E-02 5.806E+01 5.901E+01 
3.000E-02 6.281E-01 1.053E-01 3.391E+01 3.465E+01 
4.000E-02 4.104E-01 1.122E-01 1.561E+01 1.614E+01 
5.000E-02 2.892E-01 1.157E-01 8.443E+00 8.848E+00 
6.000E-02 2.138E-01 1.173E-01 5.067E+00 5.399E+00 
8.000E-02 1.305E-01 1.173E-01 2.232E+00 2.480E+00 
1.000E-01 8.833E-02 1.153E-01 1.173E+00 1.377E+00 
1.500E-01 4.285E-02 1.082E-01 3.605E-01 5.115E-01 
2.000E-01 2.522E-02 1.012E-01 1.564E-01 2.827E-01 
3.000E-01 1.169E-02 8.969E-02 4.927E-02 1.506E-01 
4.000E-01 6.717E-03 8.109E-02 2.246E-02 1.103E-01 
5.000E-01 4.351E-03 7.441E-02 1.259E-02 9.135E-02 
6.000E-01 3.044E-03 6.904E-02 8.024E-03 8.011E-02 
8.000E-01 1.727E-03 6.083E-02 4.135E-03 6.670E-02 
1.000E+00 1.110E-03 5.481E-02 2.579E-03 5.850E-02 
