Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 1.155E+00 1.435E-02 2.792E+03 2.794E+03 
1.500E-03 1.044E+00 2.863E-02 9.143E+02 9.153E+02 
2.000E-03 9.226E-01 4.418E-02 4.027E+02 4.037E+02 
3.000E-03 7.012E-01 7.309E-02 1.228E+02 1.236E+02 
4.000E-03 5.355E-01 9.586E-02 5.184E+01 5.247E+01 
5.000E-03 4.196E-01 1.126E-01 2.628E+01 2.681E+01 
6.000E-03 3.390E-01 1.248E-01 1.499E+01 1.545E+01 
8.000E-03 2.389E-01 1.410E-01 6.114E+00 6.494E+00 
1.000E-02 1.812E-01 1.513E-01 3.025E+00 3.357E+00 
1.500E-02 1.071E-01 1.664E-01 8.279E-01 1.101E+00 
2.000E-02 7.100E-02 1.741E-01 3.263E-01 5.714E-01 
3.000E-02 3.720E-02 1.793E-01 8.668E-02 3.032E-01 
4.000E-02 2.268E-02 1.788E-01 3.360E-02 2.350E-01 
5.000E-02 1.523E-02 1.761E-01 1.606E-02 2.074E-01 
6.000E-02 1.092E-02 1.727E-01 8.773E-03 1.924E-01 
8.000E-02 6.381E-03 1.654E-01 3.378E-03 1.751E-01 
1.000E-01 4.167E-03 1.583E-01 1.613E-03 1.641E-01 
1.500E-01 1.894E-03 1.433E-01 4.253E-04 1.456E-01 
2.000E-01 1.075E-03 1.316E-01 1.677E-04 1.328E-01 
3.000E-01 4.807E-04 1.146E-01 4.724E-05 1.152E-01 
4.000E-01 2.710E-04 1.028E-01 2.020E-05 1.031E-01 
5.000E-01 1.736E-04 9.392E-02 1.088E-05 9.410E-02 
6.000E-01 1.206E-04 8.688E-02 6.773E-06 8.701E-02 
8.000E-01 6.790E-05 7.634E-02 3.417E-06 7.641E-02 
1.000E+00 4.347E-05 6.865E-02 2.124E-06 6.870E-02 
