Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 1.227E+01 3.268E-03 4.641E+03 4.653E+03 
1.500E-03 1.181E+01 6.066E-03 2.077E+03 2.089E+03 
2.000E-03 1.127E+01 8.955E-03 1.125E+03 1.137E+03 
2.206E-03 1.103E+01 1.014E-02 9.078E+02 9.188E+02 
2.206E-03 1.103E+01 1.014E-02 9.827E+02 9.937E+02 
2.248E-03 1.097E+01 1.038E-02 1.475E+03 1.486E+03 
2.291E-03 1.092E+01 1.063E-02 2.214E+03 2.225E+03 
2.291E-03 1.092E+01 1.063E-02 2.347E+03 2.358E+03 
2.507E-03 1.068E+01 1.185E-02 2.267E+03 2.278E+03 
2.743E-03 1.041E+01 1.317E-02 2.191E+03 2.202E+03 
2.743E-03 1.041E+01 1.317E-02 2.529E+03 2.539E+03 
3.000E-03 1.011E+01 1.459E-02 2.039E+03 2.049E+03 
3.148E-03 9.940E+00 1.540E-02 1.812E+03 1.822E+03 
3.148E-03 9.940E+00 1.540E-02 1.923E+03 1.933E+03 
3.283E-03 9.787E+00 1.613E-02 1.740E+03 1.750E+03 
3.425E-03 9.631E+00 1.688E-02 1.575E+03 1.585E+03 
3.425E-03 9.631E+00 1.688E-02 1.642E+03 1.652E+03 
4.000E-03 9.007E+00 1.991E-02 1.135E+03 1.144E+03 
5.000E-03 8.032E+00 2.499E-02 6.580E+02 6.660E+02 
6.000E-03 7.188E+00 2.987E-02 4.180E+02 4.252E+02 
8.000E-03 5.846E+00 3.877E-02 2.013E+02 2.072E+02 
1.000E-02 4.837E+00 4.629E-02 1.132E+02 1.181E+02 
1.192E-02 4.082E+00 5.240E-02 7.170E+01 7.583E+01 
1.192E-02 4.082E+00 5.240E-02 1.829E+02 1.870E+02 
1.279E-02 3.791E+00 5.481E-02 1.510E+02 1.549E+02 
1.373E-02 3.510E+00 5.724E-02 1.247E+02 1.283E+02 
1.373E-02 3.510E+00 5.724E-02 1.729E+02 1.764E+02 
1.404E-02 3.425E+00 5.801E-02 1.639E+02 1.674E+02 
1.435E-02 3.342E+00 5.879E-02 1.554E+02 1.588E+02 
1.435E-02 3.342E+00 5.879E-02 1.796E+02 1.830E+02 
1.500E-02 3.180E+00 6.035E-02 1.605E+02 1.637E+02 
2.000E-02 2.242E+00 7.054E-02 7.650E+01 7.881E+01 
3.000E-02 1.323E+00 8.426E-02 2.611E+01 2.752E+01 
4.000E-02 8.799E-01 9.227E-02 1.201E+01 1.298E+01 
5.000E-02 6.240E-01 9.683E-02 6.537E+00 7.258E+00 
6.000E-02 4.672E-01 9.937E-02 3.962E+00 4.529E+00 
8.000E-02 2.935E-01 1.011E-01 1.790E+00 2.185E+00 
8.072E-02 2.892E-01 1.012E-01 1.746E+00 2.136E+00 
8.072E-02 2.892E-01 1.012E-01 8.512E+00 8.902E+00 
1.000E-01 2.024E-01 1.008E-01 4.855E+00 5.158E+00 
1.500E-01 9.946E-02 9.646E-02 1.664E+00 1.859E+00 
2.000E-01 5.931E-02 9.111E-02 7.711E-01 9.215E-01 
3.000E-01 2.825E-02 8.157E-02 2.646E-01 3.744E-01 
4.000E-01 1.648E-02 7.417E-02 1.273E-01 2.180E-01 
5.000E-01 1.078E-02 6.830E-02 7.390E-02 1.530E-01 
6.000E-01 7.592E-03 6.353E-02 4.828E-02 1.194E-01 
8.000E-01 4.348E-03 5.613E-02 2.555E-02 8.603E-02 
1.000E+00 2.811E-03 5.063E-02 1.609E-02 6.953E-02 
