Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 5.339E+00 6.186E-03 1.887E+03 1.892E+03 
1.103E-03 5.277E+00 7.230E-03 1.495E+03 1.501E+03 
1.217E-03 5.209E+00 8.427E-03 1.185E+03 1.190E+03 
1.217E-03 5.209E+00 8.427E-03 4.356E+03 4.361E+03 
1.232E-03 5.200E+00 8.591E-03 4.651E+03 4.656E+03 
1.248E-03 5.190E+00 8.758E-03 4.966E+03 4.972E+03 
1.248E-03 5.190E+00 8.758E-03 6.650E+03 6.655E+03 
1.328E-03 5.143E+00 9.622E-03 6.074E+03 6.079E+03 
1.414E-03 5.092E+00 1.054E-02 5.549E+03 5.554E+03 
1.414E-03 5.092E+00 1.054E-02 6.282E+03 6.287E+03 
1.500E-03 5.036E+00 1.145E-02 5.470E+03 5.475E+03 
2.000E-03 4.713E+00 1.665E-02 2.706E+03 2.711E+03 
3.000E-03 4.104E+00 2.603E-02 9.571E+02 9.612E+02 
4.000E-03 3.577E+00 3.422E-02 4.461E+02 4.497E+02 
5.000E-03 3.123E+00 4.168E-02 2.441E+02 2.473E+02 
6.000E-03 2.727E+00 4.857E-02 1.481E+02 1.509E+02 
8.000E-03 2.092E+00 6.078E-02 6.675E+01 6.890E+01 
1.000E-02 1.636E+00 7.115E-02 3.571E+01 3.742E+01 
1.110E-02 1.446E+00 7.614E-02 2.659E+01 2.811E+01 
1.110E-02 1.446E+00 7.614E-02 1.966E+02 1.982E+02 
1.500E-02 9.878E-01 9.049E-02 9.040E+01 9.148E+01 
2.000E-02 6.767E-01 1.027E-01 4.144E+01 4.222E+01 
3.000E-02 3.804E-01 1.161E-01 1.335E+01 1.385E+01 
4.000E-02 2.411E-01 1.223E-01 5.843E+00 6.206E+00 
5.000E-02 1.664E-01 1.248E-01 3.044E+00 3.335E+00 
6.000E-02 1.223E-01 1.254E-01 1.775E+00 2.023E+00 
8.000E-02 7.468E-02 1.239E-01 7.515E-01 9.501E-01 
1.000E-01 5.045E-02 1.210E-01 3.835E-01 5.550E-01 
1.500E-01 2.408E-02 1.125E-01 1.125E-01 2.491E-01 
2.000E-01 1.400E-02 1.048E-01 4.732E-02 1.661E-01 
3.000E-01 6.433E-03 9.231E-02 1.437E-02 1.131E-01 
4.000E-01 3.675E-03 8.319E-02 6.412E-03 9.327E-02 
5.000E-01 2.372E-03 7.620E-02 3.541E-03 8.212E-02 
6.000E-01 1.655E-03 7.063E-02 2.238E-03 7.452E-02 
8.000E-01 9.364E-04 6.218E-02 1.144E-03 6.426E-02 
1.000E+00 6.006E-04 5.596E-02 7.120E-04 5.727E-02 
