Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 1.206E+01 3.368E-03 4.421E+03 4.433E+03 
1.500E-03 1.160E+01 6.211E-03 1.975E+03 1.986E+03 
2.000E-03 1.106E+01 9.128E-03 1.069E+03 1.080E+03 
2.122E-03 1.092E+01 9.835E-03 9.397E+02 9.506E+02 
2.122E-03 1.092E+01 9.835E-03 1.019E+03 1.030E+03 
2.161E-03 1.087E+01 1.007E-02 1.529E+03 1.539E+03 
2.202E-03 1.083E+01 1.030E-02 2.293E+03 2.304E+03 
2.202E-03 1.083E+01 1.030E-02 2.441E+03 2.452E+03 
2.413E-03 1.059E+01 1.151E-02 2.366E+03 2.377E+03 
2.645E-03 1.033E+01 1.282E-02 2.295E+03 2.305E+03 
2.645E-03 1.033E+01 1.282E-02 2.651E+03 2.661E+03 
3.000E-03 9.922E+00 1.481E-02 1.955E+03 1.965E+03 
3.026E-03 9.891E+00 1.495E-02 1.913E+03 1.923E+03 
3.026E-03 9.891E+00 1.495E-02 2.031E+03 2.041E+03 
3.158E-03 9.742E+00 1.567E-02 1.837E+03 1.846E+03 
3.296E-03 9.591E+00 1.642E-02 1.661E+03 1.670E+03 
3.296E-03 9.591E+00 1.642E-02 1.732E+03 1.742E+03 
4.000E-03 8.841E+00 2.017E-02 1.091E+03 1.100E+03 
5.000E-03 7.887E+00 2.530E-02 6.322E+02 6.401E+02 
6.000E-03 7.060E+00 3.019E-02 4.010E+02 4.081E+02 
8.000E-03 5.739E+00 3.905E-02 1.929E+02 1.987E+02 
1.000E-02 4.742E+00 4.649E-02 1.084E+02 1.132E+02 
1.156E-02 4.124E+00 5.146E-02 7.427E+01 7.845E+01 
1.156E-02 4.124E+00 5.146E-02 1.905E+02 1.946E+02 
1.239E-02 3.838E+00 5.378E-02 1.582E+02 1.620E+02 
1.327E-02 3.562E+00 5.612E-02 1.313E+02 1.349E+02 
1.327E-02 3.562E+00 5.612E-02 1.818E+02 1.854E+02 
1.357E-02 3.477E+00 5.691E-02 1.722E+02 1.758E+02 
1.388E-02 3.393E+00 5.770E-02 1.631E+02 1.666E+02 
1.388E-02 3.393E+00 5.770E-02 1.886E+02 1.921E+02 
1.500E-02 3.109E+00 6.044E-02 1.546E+02 1.578E+02 
2.000E-02 2.191E+00 7.060E-02 7.347E+01 7.573E+01 
3.000E-02 1.294E+00 8.437E-02 2.504E+01 2.641E+01 
4.000E-02 8.591E-01 9.233E-02 1.150E+01 1.245E+01 
5.000E-02 6.091E-01 9.681E-02 6.248E+00 6.954E+00 
6.000E-02 4.556E-01 9.928E-02 3.785E+00 4.340E+00 
7.839E-02 2.962E-01 1.010E-01 1.806E+00 2.203E+00 
7.839E-02 2.962E-01 1.010E-01 8.983E+00 9.380E+00 
8.000E-02 2.865E-01 1.010E-01 8.344E+00 8.732E+00 
1.000E-01 1.974E-01 1.006E-01 4.695E+00 4.993E+00 
1.500E-01 9.690E-02 9.628E-02 1.602E+00 1.795E+00 
2.000E-01 5.776E-02 9.091E-02 7.409E-01 8.896E-01 
3.000E-01 2.751E-02 8.137E-02 2.536E-01 3.624E-01 
4.000E-01 1.604E-02 7.396E-02 1.218E-01 2.118E-01 
5.000E-01 1.048E-02 6.813E-02 7.060E-02 1.492E-01 
6.000E-01 7.381E-03 6.335E-02 4.609E-02 1.168E-01 
8.000E-01 4.226E-03 5.597E-02 2.437E-02 8.456E-02 
1.000E+00 2.732E-03 5.050E-02 1.533E-02 6.857E-02 
