Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 2.528E+00 1.317E-02 1.567E+03 1.570E+03 
1.500E-03 2.286E+00 2.393E-02 5.333E+02 5.356E+02 
1.839E-03 2.121E+00 3.081E-02 3.071E+02 3.092E+02 
1.839E-03 2.121E+00 3.081E-02 3.191E+03 3.193E+03 
2.000E-03 2.048E+00 3.388E-02 2.775E+03 2.777E+03 
3.000E-03 1.669E+00 4.962E-02 9.767E+02 9.784E+02 
4.000E-03 1.404E+00 6.135E-02 4.514E+02 4.528E+02 
5.000E-03 1.208E+00 7.110E-02 2.438E+02 2.451E+02 
6.000E-03 1.051E+00 7.983E-02 1.458E+02 1.470E+02 
8.000E-03 8.039E-01 9.507E-02 6.379E+01 6.469E+01 
1.000E-02 6.223E-01 1.076E-01 3.315E+01 3.388E+01 
1.500E-02 3.585E-01 1.289E-01 9.848E+00 1.034E+01 
2.000E-02 2.341E-01 1.402E-01 4.089E+00 4.463E+00 
3.000E-02 1.255E-01 1.501E-01 1.161E+00 1.436E+00 
4.000E-02 7.886E-02 1.534E-01 4.687E-01 7.010E-01 
5.000E-02 5.399E-02 1.538E-01 2.307E-01 4.385E-01 
6.000E-02 3.917E-02 1.526E-01 1.288E-01 3.206E-01 
8.000E-02 2.324E-02 1.483E-01 5.120E-02 2.228E-01 
1.000E-01 1.537E-02 1.432E-01 2.498E-02 1.835E-01 
1.500E-01 7.125E-03 1.309E-01 6.806E-03 1.448E-01 
2.000E-01 4.085E-03 1.207E-01 2.736E-03 1.275E-01 
3.000E-01 1.844E-03 1.055E-01 7.882E-04 1.082E-01 
4.000E-01 1.043E-03 9.475E-02 3.409E-04 9.614E-02 
5.000E-01 6.696E-04 8.663E-02 1.849E-04 8.748E-02 
6.000E-01 4.657E-04 8.019E-02 1.156E-04 8.078E-02 
8.000E-01 2.625E-04 7.050E-02 5.854E-05 7.082E-02 
1.000E+00 1.680E-04 6.340E-02 3.639E-05 6.361E-02
