Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 2.094E+00 1.301E-02 1.760E+03 1.762E+03 
1.500E-03 1.888E+00 2.427E-02 5.830E+02 5.850E+02 
1.839E-03 1.747E+00 3.184E-02 3.308E+02 3.326E+02 
1.839E-03 1.747E+00 3.184E-02 2.351E+03 2.352E+03 
2.000E-03 1.684E+00 3.530E-02 2.034E+03 2.036E+03 
3.000E-03 1.352E+00 5.395E-02 7.110E+02 7.124E+02 
4.000E-03 1.121E+00 6.828E-02 3.273E+02 3.285E+02 
5.000E-03 9.540E-01 7.960E-02 1.764E+02 1.774E+02 
6.000E-03 8.236E-01 8.899E-02 1.053E+02 1.062E+02 
8.000E-03 6.259E-01 1.041E-01 4.595E+01 4.668E+01 
1.000E-02 4.844E-01 1.159E-01 2.384E+01 2.444E+01 
1.500E-02 2.804E-01 1.355E-01 7.066E+00 7.482E+00 
2.000E-02 1.834E-01 1.460E-01 2.929E+00 3.259E+00 
3.000E-02 9.797E-02 1.547E-01 8.301E-01 1.083E+00 
4.000E-02 6.137E-02 1.570E-01 3.349E-01 5.532E-01 
5.000E-02 4.192E-02 1.565E-01 1.647E-01 3.632E-01 
6.000E-02 3.038E-02 1.548E-01 9.195E-02 2.771E-01 
8.000E-02 1.799E-02 1.498E-01 3.652E-02 2.043E-01 
1.000E-01 1.188E-02 1.442E-01 1.781E-02 1.739E-01 
1.500E-01 5.495E-03 1.314E-01 4.848E-03 1.418E-01 
2.000E-01 3.147E-03 1.211E-01 1.948E-03 1.262E-01 
3.000E-01 1.419E-03 1.057E-01 5.610E-04 1.077E-01 
4.000E-01 8.028E-04 9.489E-02 2.426E-04 9.594E-02 
5.000E-01 5.152E-04 8.674E-02 1.316E-04 8.738E-02 
6.000E-01 3.583E-04 8.028E-02 8.227E-05 8.072E-02 
8.000E-01 2.019E-04 7.056E-02 4.164E-05 7.080E-02 
1.000E+00 1.292E-04 6.346E-02 2.589E-05 6.361E-02
