Photon    Coherent Incoher. Photoel. Tot. w/  
Energy    Scatter. Scatter. Absorb.  Coherent 

1.000E-03 5.244E+00 6.580E-03 1.548E+03 1.553E+03 
1.010E-03 5.239E+00 6.683E-03 1.513E+03 1.518E+03 
1.020E-03 5.234E+00 6.787E-03 1.479E+03 1.484E+03 
1.020E-03 5.234E+00 6.787E-03 3.521E+03 3.526E+03 
1.031E-03 5.228E+00 6.907E-03 4.781E+03 4.786E+03 
1.043E-03 5.223E+00 7.030E-03 6.488E+03 6.493E+03 
1.043E-03 5.223E+00 7.030E-03 8.233E+03 8.239E+03 
1.116E-03 5.185E+00 7.802E-03 7.788E+03 7.793E+03 
1.194E-03 5.143E+00 8.635E-03 7.368E+03 7.373E+03 
1.194E-03 5.143E+00 8.635E-03 8.391E+03 8.396E+03 
1.500E-03 4.975E+00 1.192E-02 4.819E+03 4.824E+03 
2.000E-03 4.677E+00 1.700E-02 2.370E+03 2.374E+03 
3.000E-03 4.084E+00 2.638E-02 8.270E+02 8.311E+02 
4.000E-03 3.538E+00 3.523E-02 3.830E+02 3.866E+02 
5.000E-03 3.054E+00 4.354E-02 2.087E+02 2.118E+02 
6.000E-03 2.635E+00 5.122E-02 1.264E+02 1.290E+02 
8.000E-03 1.987E+00 6.476E-02 5.668E+01 5.874E+01 
9.659E-03 1.605E+00 7.436E-02 3.338E+01 3.506E+01 
9.659E-03 1.605E+00 7.436E-02 2.519E+02 2.536E+02 
1.000E-02 1.542E+00 7.614E-02 2.314E+02 2.331E+02 
1.500E-02 9.329E-01 9.661E-02 8.014E+01 8.117E+01 
2.000E-02 6.413E-01 1.091E-01 3.644E+01 3.719E+01 
3.000E-02 3.579E-01 1.228E-01 1.159E+01 1.207E+01 
4.000E-02 2.259E-01 1.288E-01 5.029E+00 5.384E+00 
5.000E-02 1.559E-01 1.311E-01 2.605E+00 2.892E+00 
6.000E-02 1.148E-01 1.315E-01 1.514E+00 1.760E+00 
8.000E-02 7.007E-02 1.298E-01 6.367E-01 8.365E-01 
1.000E-01 4.727E-02 1.265E-01 3.235E-01 4.973E-01 
1.500E-01 2.248E-02 1.175E-01 9.412E-02 2.341E-01 
2.000E-01 1.306E-02 1.092E-01 3.944E-02 1.617E-01 
3.000E-01 5.993E-03 9.624E-02 1.192E-02 1.141E-01 
4.000E-01 3.421E-03 8.667E-02 5.298E-03 9.539E-02 
5.000E-01 2.207E-03 7.938E-02 2.920E-03 8.450E-02 
6.000E-01 1.540E-03 7.357E-02 1.843E-03 7.695E-02 
8.000E-01 8.700E-04 6.475E-02 9.412E-04 6.656E-02 
1.000E+00 5.581E-04 5.827E-02 5.855E-04 5.941E-02 
